Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Mexico,-1.13984538,-0.812365541,-4.92861011,-3.889904116,-3.367380111,-3.726331964,-3.70705461,-4.537971726,-4.002863107,-2.769349978,-1.074398956,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5
Moldova,0.148232521,-0.870607993,-6.382820742,-2.614293258,-2.458438354,-2.308285138,-1.861398102,-1.888182041,-2.310408489,-2.094828351,-0.96534145,-3.18020928,-3.796262088,-3.630485785,-2.847606665,-2.758289975,-2.761380568
Mongolia,2.080895036,-3.135969306,-3.987375334,0.425427463,-4.013807877,-9.090202612,-8.89202712,-11.27779717,-8.529784766,-16.98155112,-1.934653504,-5.263855143,-4.244167783,-2.049811198,-0.936481496,-0.834362648,-0.69264711
Morocco,-0.125774634,0.677363559,-1.763163193,-4.255551826,-6.574812121,-7.176977665,-5.088298217,-4.848407566,-4.17021703,-4.088969894,-3.557432975,-2.986814729,-2.848325868,-2.694101573,-2.380047646,-2.172790539,-2.123633024
Mozambique,-2.52875224,-2.129999954,-4.884976941,-3.825152843,-4.827321334,-3.873215687,-2.742732963,-10.71861023,-7.17942856,-6.240430143,-5.470411044,-7.524208382,-10.84991836,-9.890098776,-9.623588762,-10.63269971,-9.94779191
Myanmar,-3.104867167,-2.132644172,-4.377399438,-5.471601709,-3.534891746,0.944005044,-1.346337026,-0.938348705,-4.420637103,-2.515953355,-3.491191931,-3.882084574,-3.990751706,-4.1022557,-4.129002187,-4.113481095,-4.179679051
Nepal,-0.778086593,-0.411366682,-2.576924504,-0.775233009,-0.824785793,-1.342186829,1.810077339,1.531010997,0.656744023,1.355412916,-1.386009574,-3.712025586,-3.22207732,-2.71388131,-2.813146351,-2.812448258,-2.713333443
Netherlands,0.222100835,0.229065199,-5.423923956,-4.971861184,-4.288793941,-3.883183191,-2.369505537,-2.254708842,-2.048687774,0.370848206,0.540999282,0.550457947,0.683739751,0.788495412,0.89362761,0.992808121,1.033800253
New Zealand,3.665242463,1.747920142,-1.222631445,-4.820135314,-4.514875204,-1.712258997,-0.754793156,-0.087309375,0.569272813,1.307607282,1.632700365,1.088442047,1.147107401,2.006669847,2.519359563,2.646124393,2.649212315
Nicaragua,1.47309101,-0.20145738,-1.205518369,0.104031053,0.149949057,-0.103563568,-0.65499238,-1.22121818,-1.379677395,-1.595419971,-1.682164798,-2.04387732,-2.092666956,-1.966510456,-2.134211207,-2.241837229,-2.360639345
Niger,-0.994996889,1.490482945,-5.31246767,-2.412620216,-1.479448863,-1.118034553,-2.559460388,-8.046523147,-9.050999519,-6.134300089,-5.148000237,-6.088584612,-5.766003446,-4.174906978,-2.797106267,-2.820685334,-2.775651609
Nigeria,-1.067352498,5.701408217,-5.364385412,-4.225845412,0.374468051,0.236872018,-2.334330956,-2.12878454,-3.467819639,-3.930891107,-5.751581597,-4.805327228,-4.606792078,-4.164127236,-4.324622802,-4.176604774,-4.199566452
Norway,16.97624782,18.43372838,10.31882224,10.8933474,13.17390586,13.52982119,10.52315017,8.531364244,5.8846798,3.90363887,4.85861711,3.679590883,3.775688502,3.99223926,3.987688888,3.992970021,4.125131907
Oman,12.03808874,16.79710238,-0.310171618,5.48133956,9.398069421,4.642708167,4.668397915,-1.079853429,-15.94670094,-21.29805129,-11.42752668,-5.663059033,-4.887269063,-5.481131871,-6.710587053,-7.068067982,-7.186600963
Pakistan,-5.116785172,-7.45379463,-5.047740832,-6.012626895,-6.729992274,-8.630878208,-8.368800612,-4.852154379,-5.253838203,-4.411591016,-5.666257031,-5.322028755,-5.678012635,-5.719386748,-5.726220157,-5.74161058,-5.734752788
Papua New Guinea,6.899410236,2.73417905,-5.482580071,3.062366984,2.215401029,-1.189952404,-6.869785461,-6.32142987,-3.982954062,-4.358789919,-2.942366258,-2.319359305,-2.14726138,-2.124587812,-2.124169491,-2.05892874,-2.019485335
Peru,3.348358349,2.683431155,-1.394129422,0.122864034,2.038361004,2.093908041,0.740401339,-0.26423105,-2.198411551,-2.335228503,-3.050280234,-3.328745848,-2.745697759,-1.774676779,-0.998971525,-0.955506378,-0.96131936
Philippines,-0.297553649,0.017178412,-2.685482142,-2.352753339,-0.317745862,-0.303798927,0.195731042,0.863874805,0.612733467,-0.371168511,-0.300291346,-0.450212931,-0.63784081,-0.730033361,-0.739883566,-0.779880228,-0.886809089
Poland,-1.852914682,-3.600140646,-7.252603104,-7.342155184,-4.82721766,-3.711763808,-4.112872538,-3.594627489,-2.639185609,-2.467937792,-1.744021,-1.887198426,-1.778098106,-1.485628155,-1.363842618,-1.261341105,-1.164042156
Portugal,-3.008760012,-3.765662396,-9.805519347,-11.17114684,-7.382845206,-5.65866578,-4.842424324,-7.165659516,-4.403431195,-1.975902725,-1.178902316,-1.011245607,-0.899726568,-0.815418058,-0.655897796,-0.627564794,-0.633021597
Qatar,10.53735659,9.939653291,14.89321154,6.741232716,7.52128147,11.23559377,22.73294217,15.26880938,5.319810606,-4.712424985,-1.645961764,2.812337088,7.543125701,6.813403409,5.49208402,5.136528869,5.002730973
Romania,-3.022921868,-4.620018444,-6.917379143,-6.348075567,-4.218403508,-2.481442968,-2.474254783,-1.869867496,-1.453881991,-2.400345497,-2.830845547,-3.62051233,-3.481096337,-3.388343901,-3.398946751,-3.291245667,-3.243615244
Russian Federation,5.569756773,4.53677223,-5.872450887,-3.184949411,1.427816684,0.382001434,-1.159822816,-1.067663753,-3.374248678,-3.657216549,-1.465117322,0.024324423,0.130452168,0.307627583,0.45209715,0.529489793,0.480629062
Rwanda,-1.654605592,0.879713786,0.273300622,-0.677202257,-0.912389838,-2.490956169,-1.302281287,-4.028087506,-2.762473402,-2.328615555,-2.548784262,-1.973372215,-2.011638396,-1.389714207,-0.816211868,-0.673494895,-0.496538826
Saudi Arabia,11.78360187,29.8019056,-5.383449023,4.403266503,11.55399966,11.9130843,5.638504695,-3.541991719,-15.83843916,-17.20348843,-8.969130981,-7.317477306,-5.575871914,-5.262913507,-4.965654551,-4.378397303,-3.987499528
Senegal,-3.465065773,-4.431395798,-4.611979847,-4.907199442,-6.094737999,-5.19487161,-5.514560188,-5.032375464,-4.788161821,-4.233037741,-4.497375852,-3.516675006,-2.958135071,-3.039927882,-3.015932616,-3.038850972,-2.991483911
Singapore,10.10898816,6.106149361,0.047585485,6.031969087,8.630506351,7.814014245,6.570346052,5.390891639,3.587674562,3.257217512,5.969488726,2.286295395,1.920261699,1.656227718,1.956391877,2.03108312,1.936732773
Slovak Republic,-1.948808876,-2.427742964,-7.804226606,-7.48492095,-4.276964116,-4.344901766,-2.719974976,-2.702269349,-2.737260509,-2.185846891,-1.648886841,-0.920352081,-0.374950589,-0.182385156,-0.161103806,-0.107707158,-0.107707158
Slovenia,0.257741026,-0.270167128,-5.420059696,-5.237371875,-5.499355995,-3.135336184,-13.76431908,-5.768221828,-3.317818,-1.733548089,-0.792538167,0.010863554,-0.295861908,-0.415500744,-0.627854967,-0.740118576,-0.835776478
South Africa,1.355834673,-0.535419895,-5.202269683,-5.026292372,-4.076713583,-4.425801046,-4.267668321,-4.263064189,-4.77205905,-4.059796086,-4.546596448,-4.22466963,-4.107764577,-4.052507177,-4.046969629,-4.076481224,-4.103237221
Spain,1.923747718,-4.420524536,-10.95350363,-9.381137626,-9.642122138,-10.46791977,-6.989128326,-5.968472375,-5.278157923,-4.506035643,-3.111316604,-2.509713383,-2.082877727,-2.08578137,-2.107419832,-2.144393514,-2.243848819
Sri Lanka,-6.003815506,-6.129922412,-8.608197091,-6.954132955,-6.235896799,-5.599382442,-5.185399481,-6.231145555,-7.012643393,-5.377839397,-5.519368137,-4.434269127,-3.45971781,-3.489311006,-3.499745256,-3.509492875,-3.458359686
Sudan,-2.841968725,0.476047436,-3.717771777,0.199073018,0.045277387,-3.090685769,-2.696527725,-1.271505422,-1.698162757,-1.596793494,-1.383944783,-3.08841271,-2.937423227,-2.895546202,-2.868685324,-3.080047732,-3.027790002
Sweden,3.354571492,1.900461064,-0.71682942,-0.032301191,-0.207188308,-0.981898611,-1.364966634,-1.560566343,0.157933836,1.199372866,1.186060227,1.135564525,0.712741226,0.607018712,0.466209329,0.388291801,0.324076197
Switzerland,1.604656332,1.93077219,0.503129325,0.356077151,0.734973969,0.382300469,-0.429122884,-0.214267841,0.647733505,0.059985477,0.035163895,0.442578136,0.412340624,0.343002572,0.293505597,0.293995957,0.312340624
Syria,,,,,,,,,,,,,,,,,
Tajikistan,-5.533871224,-5.061223837,-5.229057329,-2.97868327,-2.14166638,0.558722734,-0.810249723,-0.033192812,-1.874020601,-9.766188866,-2.424934099,-7.359232818,-5.396190153,-2.493146058,-2.514369888,-2.478776473,-2.473819623
Tanzania,-1.465244149,-1.947132258,-4.481764169,-4.768139924,-3.564483982,-4.11861792,-3.918438112,-3.016790332,-3.290123555,-2.175963822,-2.708632091,-4.396337463,-4.562041873,-4.10321335,-3.326791747,-2.639511359,-2.280323991
Thailand,0.2199444,0.80108428,-2.213976674,-1.284258656,-0.005696637,-0.94651714,0.51555978,-0.80109637,0.132347956,0.570247718,-0.613854912,-0.936196271,-0.889004125,-0.927017395,-1.049629302,-1.221622438,-1.296609299
Timor-Leste,,,,,,,,,,,,,,,,,
Turkey,-1.942352744,-2.661113543,-5.881245181,-3.422730139,-0.686805217,-1.831082915,-1.469313957,-1.429906465,-1.2651561,-2.328208454,-2.292133145,-2.930240195,-3.175315455,-2.76567642,-2.361343518,-2.271753633,-2.24478523
Turkmenistan,,,,,,,,,,,,,,,,,
Uganda,-1.05756149,-2.588189343,-2.088746281,-5.672106021,-2.661484587,-3.011655854,-3.996817664,-4.693357243,-4.553592181,-4.891732081,-3.19043026,-5.287130657,-6.471158256,-7.0412404,-2.813662943,-2.34007606,-1.70330349
Ukraine,-1.894987105,-3.023335972,-6.040717923,-5.772013794,-2.76155758,-4.307064511,-4.784336315,-4.459976275,-1.159825106,-2.225314261,-2.410954181,-2.496385056,-2.697464724,-2.397512179,-2.297476677,-2.298219821,-2.198399984
United Arab Emirates,17.12373086,17.63733374,-6.1266187,0.550608346,5.312063416,9.000075202,8.388065852,1.910746554,-3.365019627,-2.478071846,-1.79928745,-1.394957596,-0.831443794,-0.478053444,-0.134649878,0.265295691,0.709577386
United Kingdom,-2.635944461,-5.173081534,-10.12307,-9.417441991,-7.471765597,-7.623848448,-5.396067682,-5.442549027,-4.260572012,-2.963106711,-2.324759109,-1.810882648,-1.531619662,-1.292921741,-1.142646138,-0.747480972,-0.613922615
United States,-2.859785358,-6.680831874,-13.14963875,-10.92497862,-9.588923777,-7.883109206,-4.424245874,-4.047424774,-3.527523771,-4.191490219,-4.575433458,-5.282781305,-5.897693226,-5.548310261,-5.491304076,-5.436708866,-4.965475478
Uruguay,-0.04568042,-1.594118607,-1.649351056,-1.067718046,-0.903971981,-2.700702635,-2.322690613,-3.464164632,-3.57626566,-3.863412678,-3.513643397,-2.908863845,-2.502244094,-2.4643526,-2.5,-2.529402997,-2.541446026
Uzbekistan,4.454613772,7.25007146,2.264417796,3.299619052,7.446923634,8.12217545,2.633613752,2.964570642,0.447490747,0.394905888,-1.720306981,0.767802108,1.282694209,1.998311179,2.085252957,2.120843348,2.292395138
Venezuela,-2.815425963,-3.46101926,-8.685966478,-9.151903406,-10.63527346,-14.56535883,-14.08795918,-16.47806256,-17.5825848,-17.76316338,-31.8484055,-30.21509067,-30.89817054,-30.77818686,-30.12848849,-29.42106629,-30.33493952
